"Index","Množství","Objednací číslo","Objednací číslo výrobce","Popis","Referenční číslo zákazníka","K dispozici","Zpětná objednávka","Jednotková cena","Rozšířená cena CZK"
"1","2","296-48787-1-ND","TRF37D73IDSGR","IC RF AMP 1MHZ-6GHZ 8WSON","","2","0","28,03000","56,06 Kč"
"2","2","RT5047BFGSPCT-ND","RT5047BFGSP","IC REG CONV LNB 1OUT 8SOP","","2","0","29,45000","58,90 Kč"
"3","1","631-FT2MHUPM10.0-T1CT-ND","FT2MHUPM10.0-T1","XTAL OSC TCXO 10MHZ CMOS SMD","","1","0","39,40000","39,40 Kč"
"4","2","712-1720BL15B0050001ECT-ND","1720BL15B0050001E","BALUN 625MHZ-2.8GHZ 50/50 0805","","2","0","6,91000","13,82 Kč"
"5","5","497-1235-1-ND","LD1117DT33CTR","IC REG LINEAR 3.3V 800MA DPAK","","5","0","8,12000","40,60 Kč"
"6","1","497-STM32C011F6P6TRCT-ND","STM32C011F6P6TR","IC MCU 32BIT 32KB FLASH 20TSSOP","","1","0","18,48000","18,48 Kč"
"7","10","4878-BC817-40CT-ND","BC817-40","TRANS NPN 45V 0.8A SOT23-3","","10","0","1,72600","17,26 Kč"
"8","2","296-35110-1-ND","LMX2581SQE/NOPB","IC FREQ SYNTH 32WQFN","","2","0","335,93000","671,86 Kč"
"9","4","490-GRT1885C1E562JA02DCT-ND","GRT1885C1E562JA02D","CAP CER 5600PF 25V C0G/NP0 0603","","4","0","2,03000","8,12 Kč"

